,Year,STD Cases,Population,STD Cases Mean,Population Percent Change,STD Cases Percent Change,Rate per 100k
0,1996,21949.0,4331102.0,29956.526315789473,0.0,0.0,506.77633544534393
1,1997,21145.0,4367935.0,29956.526315789473,0.8504302138347297,-3.663037040411865,484.09603164882265
2,1998,23076.0,4404701.0,29956.526315789473,0.8417249798817972,9.13218254906598,523.8948114752851
3,1999,23465.0,4430141.0,29956.526315789473,0.5775647427600727,1.6857340960305,529.6671144327009
4,2000,27509.0,4451975.0,29956.526315789473,0.4928511304719274,17.23417856381846,617.90553630692
5,2001,25848.0,4468912.0,29956.526315789473,0.3804378955407417,-6.038023919444546,578.395815357295
6,2002,25878.0,4486508.0,29956.526315789473,0.3937423695073772,0.11606313834726656,576.796029339522
7,2003,23626.0,4500752.0,29956.526315789473,0.31748522458892037,-8.702372671767522,524.9344998346943
8,2004,21685.0,4530182.0,29956.526315789473,0.6538907275939643,-8.215525268771696,478.67834007552017
9,2005,26684.0,4557808.0,29956.526315789473,0.6098209740800664,23.052801475674435,585.4568687404121
10,2006,33899.0,4599030.0,29956.526315789473,0.9044259872289517,27.038674861340127,737.0902125013317
11,2007,36418.0,4627851.0,29956.526315789473,0.6266756250774552,7.4308976665978355,786.9311263478447
12,2008,34949.0,4661900.0,29956.526315789473,0.7357410599433623,-4.033719589214124,749.6728801561595
13,2009,33844.0,4708708.0,29956.526315789473,1.0040541410154757,-3.1617499785401626,718.7534245062552
14,2010,35234.0,4779736.0,29956.526315789473,1.5084392576477423,4.107079541425374,737.1536838017832
15,2011,38986.0,4802740.0,29956.526315789473,0.48128181138038517,10.648805131407158,811.7449622507153
16,2012,40107.0,4822023.0,29956.526315789473,0.40149997709639784,2.8753911660596154,831.7463438063236
17,2013,38024.0,4833722.0,29956.526315789473,0.24261601406712074,-5.193607101004815,786.6401915542515
18,2014,36848.0,4833722.0,29956.526315789473,0.0,-3.0927835051546393,762.3111134649448
19,1996,0.0,608569.0,3726.2105263157896,-87.40992965669105,-100.0,0.0
20,1997,2008.0,612968.0,3726.2105263157896,0.7228432601726453,0.0,327.5864319181425
21,1998,2239.0,619932.0,3726.2105263157896,1.1361115098993846,11.50398406374502,361.16864430292355
22,1999,2189.0,624779.0,3726.2105263157896,0.7818599459295639,-2.233139794551142,350.3638886710341
23,2000,0.0,627698.0,3726.2105263157896,0.46720520376004604,-100.0,0.0
24,2001,0.0,633630.0,3726.2105263157896,0.9450404493880793,0.0,0.0
25,2002,0.0,643786.0,3726.2105263157896,1.6028281489197216,0.0,0.0
26,2003,4474.0,648820.0,3726.2105263157896,0.7819368547933525,0.0,689.5595080299621
27,2004,4529.0,655435.0,3726.2105263157896,1.0195431706790714,1.2293249888243096,690.9914789414663
28,2005,4964.0,663661.0,3726.2105263157896,1.2550443598526195,9.604769264738344,747.9722328116312
29,2006,5166.0,670053.0,3726.2105263157896,0.9631423271821093,4.0692989524576895,770.9837878496178
30,2007,5497.0,683478.0,3726.2105263157896,2.0035728516997864,6.407278358497881,804.2687548099573
31,2008,5440.0,686293.0,3726.2105263157896,0.4118640248844896,-1.0369292341277037,792.6643576431641
32,2009,0.0,698473.0,3726.2105263157896,1.7747521831054769,-100.0,0.0
33,2010,7295.0,710231.0,3726.2105263157896,1.6833864730633863,0.0,1027.1306096185608
34,2011,6728.0,722718.0,3726.2105263157896,1.7581603731743556,-7.772446881425632,930.9301830036057
35,2012,6199.0,731449.0,3726.2105263157896,1.2080783929554917,-7.862663495838285,847.495860955446
36,2013,6925.0,735132.0,3726.2105263157896,0.5035210930632195,11.711566381674455,942.0076938563413
37,2014,7145.0,735132.0,3726.2105263157896,0.0,3.1768953068592065,971.9342920727162
38,1996,14495.0,4586940.0,25109.157894736843,523.9614110118998,102.86913925822252,316.0058775567154
39,1997,14687.0,4736990.0,25109.157894736843,3.2712440101680063,1.3245946878233772,310.04920846360244
40,1998,15738.0,4883342.0,25109.157894736843,3.0895568705021637,7.155988288963022,322.2792915179809
41,1999,16522.0,5023823.0,25109.157894736843,2.8767389218285366,4.981573262167993,328.87305145901837
42,2000,16937.0,5167142.0,25109.157894736843,2.852787608162144,2.5118024452245535,327.78274721306286
43,2001,18457.0,5306966.0,25109.157894736843,2.70602201371668,8.974434669658148,347.7881712451144
44,2002,18900.0,5456453.0,25109.157894736843,2.8168071926596205,2.400173375954928,346.37886553774035
45,2003,16585.0,5580811.0,25109.157894736843,2.279099627541914,-12.248677248677254,297.17903007286935
46,2004,21008.0,5743834.0,25109.157894736843,2.9211345806192,26.668676514923128,365.74873159635183
47,2005,26390.0,5939292.0,25109.157894736843,3.4029186776637355,25.61881188118811,444.3290547088778
48,2006,30242.0,6166318.0,25109.157894736843,3.8224421362007543,14.59643804471391,490.438540470991
49,2007,30224.0,6338755.0,25109.157894736843,2.7964337875536094,-0.05951987302427186,476.8128757145528
50,2008,28535.0,6500180.0,25109.157894736843,2.546635735250846,-5.58827421916358,438.987843413567
51,2009,29483.0,6595778.0,25109.157894736843,1.4706977345242844,3.322235850709654,446.9980645194547
52,2010,30340.0,6392017.0,25109.157894736843,-3.0892640716531083,2.906759827697325,474.6545573955764
53,2011,34089.0,6482505.0,25109.157894736843,1.4156407906925184,12.356624917600524,525.8615303806167
54,2012,36455.0,6553255.0,25109.157894736843,1.091399081065103,6.940655343365898,556.2884398669058
55,2013,37263.0,6626624.0,25109.157894736843,1.1195810326318778,2.216431216568382,562.3225340686298
56,2014,40724.0,6626624.0,25109.157894736843,0.0,9.288033706357513,614.5512405713679
57,1996,7374.0,2572109.0,14212.78947368421,-61.185227953177964,-81.89274138100383,286.69080509418535
58,1997,7101.0,2601090.0,14212.78947368421,1.1267407407695496,-3.702196908055333,273.0009342237293
59,1998,8184.0,2626289.0,14212.78947368421,0.968786162724089,15.251373046049842,311.6184090935917
60,1999,9178.0,2651860.0,14212.78947368421,0.9736552222546768,12.145650048875844,346.09670193750804
61,2000,9965.0,2678668.0,14212.78947368421,1.0109130949597533,8.574852909130538,372.01325434880323
62,2001,11933.0,2694698.0,14212.78947368421,0.5984317578736853,19.749121926743605,442.83255489112327
63,2002,11930.0,2710079.0,14212.78947368421,0.5707875242420446,-0.025140367049358847,440.20856956568423
64,2003,12158.0,2725715.0,14212.78947368421,0.5769573506897663,1.9111483654652206,446.04810114043465
65,2004,12048.0,2752629.0,14212.78947368421,0.9874106427121054,-0.9047540713933211,437.6906586394316
66,2005,13035.0,2779154.0,14212.78947368421,0.9636242297817788,8.19223107569722,469.02762495349305
67,2006,12642.0,2810872.0,14212.78947368421,1.1412825629669943,-3.0149597238204873,449.7536707470137
68,2007,14244.0,2834797.0,14212.78947368421,0.8511593555309505,12.672045562411016,502.46984175586465
69,2008,18856.0,2855390.0,14212.78947368421,0.7264364961582892,32.3785453524291,660.365134009715
70,2009,19089.0,2889450.0,14212.78947368421,1.192831802310712,1.235680950360618,660.6447593832736
71,2010,20398.0,2915918.0,14212.78947368421,0.9160220803267061,6.857352401906858,699.5395618120948
72,2011,20921.0,2937979.0,14212.78947368421,0.7565713439129595,2.5639768604765134,712.088139499976
73,2012,21091.0,2949131.0,14212.78947368421,0.37958065731580337,0.8125806605802754,715.1598216559386
74,2013,19631.0,2959373.0,14212.78947368421,0.34728874370111296,-6.922383955241573,663.349973119306
75,2014,20265.0,2959373.0,14212.78947368421,0.0,3.2295858591004034,684.7734300475134
76,1996,80672.0,32018834.0,153800.31578947368,981.9465474612359,298.08536886257093,251.95171067128805
77,1997,87248.0,32486010.0,153800.31578947368,1.459066248321217,8.151527171757245,268.5709940986905
78,1998,96399.0,32987675.0,153800.31578947368,1.5442493553378789,10.488492572895659,292.22732429611966
79,1999,104055.0,33499204.0,153800.31578947368,1.5506670294284097,7.94199109949274,310.6193209844628
80,2000,117236.0,34010375.0,153800.31578947368,1.5259198397669316,12.66733938782374,344.7065785072937
81,2001,125754.0,34600463.0,153800.31578947368,1.7350235038572803,7.2656863079600065,363.4460035982755
82,2002,135927.0,35116033.0,153800.31578947368,1.4900667658695799,8.089603511617916,387.07959979420224
83,2003,144690.0,35484453.0,153800.31578947368,1.0491503980532224,6.446842790615559,407.75603896162636
84,2004,153708.0,35893799.0,153800.31578947368,1.1535925324817509,6.232635289239052,428.2299569349012
85,2005,166639.0,36132147.0,153800.31578947368,0.664036704501525,8.412704608738641,461.1931862227838
86,2006,171402.0,36457549.0,153800.31578947368,0.9005886088086612,2.8582744735626164,470.1413142172558
87,2007,175260.0,36553215.0,153800.31578947368,0.2624038165593534,2.2508488815766503,479.4653493543591
88,2008,176789.0,36756666.0,153800.31578947368,0.5565885244293911,0.8724181216478444,480.9712611040403
89,2009,171924.0,36961664.0,153800.31578947368,0.5577165241265281,-2.7518680460888456,465.14139623151164
90,2010,178949.0,37253956.0,153800.31578947368,0.7907977303186264,4.086107815081075,480.34898629289194
91,2011,196732.0,37691912.0,153800.31578947368,1.1755959555006745,9.93746821720154,521.9475202000897
92,2012,204227.0,38041430.0,153800.31578947368,0.9273023878438424,3.809751336844025,536.8541613709053
93,2013,209044.0,38332521.0,153800.31578947368,0.7651946837960555,2.358649933652268,545.3437304580099
94,2014,225551.0,38332521.0,153800.31578947368,0.0,7.896423719408352,588.4063821422025
95,1996,9342.0,3919972.0,18508.105263157893,-89.77376937979112,-95.85814294771471,238.31802880224657
96,1997,10079.0,4018293.0,18508.105263157893,2.5082066912722745,7.889102975808182,250.82790130037804
97,1998,11156.0,4116639.0,18508.105263157893,2.447457166513245,10.685583887290395,270.9977726975817
98,1999,13382.0,4226018.0,18508.105263157893,2.6569976138301143,19.953388311222664,316.6574302333781
99,2000,15123.0,4326758.0,18508.105263157893,2.383804328329875,13.0100134509042,349.5226680114765
100,2001,16452.0,4430989.0,18508.105263157893,2.408986127719648,8.787938901011705,371.29408355561253
101,2002,17603.0,4506542.0,18508.105263157893,1.7051046617357901,6.996109895453451,390.6099177595593
102,2003,15932.0,4550688.0,18508.105263157893,0.9795981042670876,-9.492700107936148,350.1009078187738
103,2004,17268.0,4601403.0,18508.105263157893,1.1144468704512356,8.385638965603825,375.2768449101285
104,2005,18702.0,4665177.0,18508.105263157893,1.3859685839297198,8.304378040305771,400.8851111115398
105,2006,20077.0,4753377.0,18508.105263157893,1.8906035076482697,7.352154849748693,422.3733989540489
